question,question_cyrl,answers,answers_cyrl,correct_answer,image_url,category,time_limit,audio_url,audio_url_cyrl,explanation_text,explanation_text_cyrl
Reaktsiya va diqqatni pasaytiruvchi dori-darmonlar tasirida bo'lgan haydovchiga transport vositalarini boshqarishga ruxsat etiladimi?,Реакция ва диққатни пасайтирувчи дори-дармонлар таъсирида бўлган ҳайдовчига транспорт воситаларини бошқаришга рухсат этиладими?,"{""Taqiqlanadi"",""Ruxsat etiladi"",""Agar haydovchining ishlagan davri 2 yildan ortiq bo'lsa, ruxsat etiladi""}","{""Тақиқланади"",""Рухсат этилади"",""Агар ҳайдовчининг ишлаган даври 2 йилдан ортиқ бўлса, рухсат этилади""}",0,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Bu belgidagi ko'k fonda aholi yashaydigan joyning nomi yozilgan qo'shimcha nimani bildiradi?,Бу белгидаги кўк фонда аҳоли яшайдиган жойнинг номи ёзилган қўшимча нимани билдиради?,"{""Bu manzil shu aholi yashaydigan joydan tashqarida joylashganini va u manzilga avtomagistral bo'lmagan, boshqa yo'l orqali borilishni"",""Ko'rsatilgan aholi manziliga harakatlanish avtomagistral bo'ylab amalga oshiriladi"",""Ko'rsatilgan manzil mazkur aholi yashaydigan joyda joylashgan""}","{""Бу манзил шу аҳоли яшайдиган жойдан ташқарида жойлашганини ва у манзилга автомагистрал бўлмаган, бошқа йўл орқали борилишни"",""Кўрсатилган аҳоли манзилига ҳаракатланиш автомагистрал бўйлаб амалга оширилади"",""Кўрсатилган манзил мазкур аҳоли яшайдиган жойда жойлашган""}",0,https://ptest.uz/images/4a10fd5b-cfae-4270-8883-b39fef547f8c.webp,Bilet 31-40,300,,,,
Transport vositasining bir o'qiga izlari har xil naqshli shinalar o'rnatishga ruxsat etiladimi?,Транспорт воситасининг бир ўқига излари ҳар хил нақшли шиналар ўрнатишга рухсат этиладими?,"{""Avtomobilning faqat orqa o'qiga oldingi boshqaruvchi ko'prik bilan birga ruxsat etiladi"",""Taqiqlanadi"",""Faqat yuk avtomobiliga ruxsat etiladi"",""Ruxsat etiladi""}","{""Автомобилнинг фақат орқа ўқига олдинги бошқарувчи кўприк билан бирга рухсат этилади"",""Тақиқланади"",""Фақат юк автомобилига рухсат этилади"",""Рухсат этилади""}",1,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Avtomagistrallarda transport vositalarining atayin to'xtashi qaysi joylarda ruxsat etilgan?,Автомагистралларда транспорт воситаларининг атайин тўхташи қайси жойларда рухсат этилган?,"{""Belgida ko'rsatilgan tezlikdan oshirishga faqat tezlik tegishli yo'l belgisi o'rnatilib oshirilgan yo'l qismlarida ruxsat beriladi"",""Belgida ko'rsatilgan tezlikdan oshirish taqiqlanadi"",""To'xtab turish uchun «To'xtab turish joyi» yoki «Dam olish joyi» belgilari bilan belgilangan maxsus maydonchalarda Agar transport vositasida «Tezlik cheklangan» taniqli belgisi o'rnatilgan bo'lsa, bu transport vositasining haydovchisiga:""}","{""Белгида кўрсатилган тезликдан оширишга фақат тезлик тегишли йўл белгиси ўрнатилиб оширилган йўл қисмларида рухсат берилади"",""Белгида кўрсатилган тезликдан ошириш тақиқланади"",""Тўхтаб туриш учун «Тўхтаб туриш жойи» ёки «Дам олиш жойи» белгилари билан белгиланган махсус майдончаларда Агар транспорт воситасида «Тезлик чекланган» таниқли белгиси ўрнатилган бўлса, бу транспорт воситасининг ҳайдовчисига:""}",1,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Qaysi rasmda haydovchi yo'lovchilarni tushirish uchun o'z avtomobilini to'g'ri to'xtatdi?,Қайси расмда ҳайдовчи йўловчиларни тушириш учун ўз автомобилини тўғри тўхтатди?,"{""Chapdagi rasmda"",""Ikkala rasmda"",""O'ngdagi rasmda"",""Ikkala rasmda noto'g'ri to'xtatdi""}","{""Чапдаги расмда"",""Иккала расмда"",""Ўнгдаги расмда"",""Иккала расмда нотўғри тўхтатди""}",3,https://ptest.uz/images/3399d49d-9f95-4a87-80a6-8f6bc92ceb72.webp,Bilet 31-40,300,,,,
Qizil avtomobil chorrahani nechanchi bo'ib kesib o'tadi?,Қизил автомобил чорраҳани нечанчи бўиб кесиб ўтади?,"{""Birinchi bo'lib"",""Ikkinchi bo'lib"",""Oxirgi bo'lib""}","{""Биринчи бўлиб"",""Иккинчи бўлиб"",""Охирги бўлиб""}",1,https://ptest.uz/images/82e4d04a-835f-4649-b09e-216b9914f093.webp,Bilet 31-40,300,,,,
Sanab o'tilgan hollarning qay birida qatnov qismining o'ng chetidan yoki yo'lning o'ng yoqasidan qayrilishga ruxsat etiladi?,Санаб ўтилган ҳолларнинг қай бирида қатнов қисмининг ўнг четидан ёки йўлнинг ўнг ёқасидан қайрилишга рухсат этилади?,"{""Tartibga solingan chorrahalarda"",""Chorrahalardan tashqarida, agar qatnov qismining kengligi chetki chap holatdan qayrilish uchun yetarli bo'lmasa"",""Tartibga solinmaydigan chorrahalarda, agar qayrilishni amalga oshirayotgan transport vositasi asosiy yo'lda bo'lsa""}","{""Тартибга солинган чорраҳаларда"",""Чорраҳалардан ташқарида, агар қатнов қисмининг кенглиги четки чап ҳолатдан қайрилиш учун етарли бўлмаса"",""Тартибга солинмайдиган чорраҳаларда, агар қайрилишни амалга ошираётган транспорт воситаси асосий йўлда бўлса""}",1,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Avtopoezdning belgisi qanday holda yoqilgan bo'lishi kerak?,Автопоезднинг белгиси қандай ҳолда ёқилган бўлиши керак?,"{""Tunda yoki yetarli ko'rinmaydigan sharoitda harakat qilganda"",""Faqat avtopoezd harakat qilganda"",""Avtopoezd harakat qilganda, shuningdek, qorong'i vaqtida to'xtaganda va to'xtab turganida"",""Faqat avtopoezd yuk bilan harakat qilganda""}","{""Тунда ёки етарли кўринмайдиган шароитда ҳаракат қилганда"",""Фақат автопоезд ҳаракат қилганда"",""Автопоезд ҳаракат қилганда, шунингдек, қоронғи вақтида тўхтаганда ва тўхтаб турганида"",""Фақат автопоезд юк билан ҳаракат қилганда""}",2,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Avtopoezdning belgisi qanday holda yoqilgan bo'lishi kerak?,Автопоезднинг белгиси қандай ҳолда ёқилган бўлиши керак?,"{""Tunda yoki yetarli ko'rinmaydigan sharoitda harakat qilganda"",""Faqat avtopoezd harakat qilganda"",""Avtopoezd harakat qilganda, shuningdek, qorong'i vaqtida to'xtaganda va to'xtab turganida"",""Faqat avtopoezd yuk bilan harakat qilganda""}","{""Тунда ёки етарли кўринмайдиган шароитда ҳаракат қилганда"",""Фақат автопоезд ҳаракат қилганда"",""Автопоезд ҳаракат қилганда, шунингдек, қоронғи вақтида тўхтаганда ва тўхтаб турганида"",""Фақат автопоезд юк билан ҳаракат қилганда""}",1,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Aholi yashaydigan yo'llardan tashqarida yo'lning qatnov qismida haydovchilar transport vositalarini qaerda harakatlantirishlari kerak?,Аҳоли яшайдиган йўллардан ташқарида йўлнинг қатнов қисмида ҳайдовчилар транспорт воситаларини қаерда ҳаракатлантиришлари керак?,"{""Iloji boricha qatnov qismining o'ng chetiga yaqinroq joyda"",""Xohlagan bo'lak bo'ylab"",""Faqat o'ng bo'lak bo'ylab. Chap bo'lak o'tish faqat chapga burish va burilish uchun ruxsat etiladi""}","{""Иложи борича қатнов қисмининг ўнг четига яқинроқ жойда"",""Хоҳлаган бўлак бўйлаб"",""Фақат ўнг бўлак бўйлаб. Чап бўлак ўтиш фақат чапга буриш ва бурилиш учун рухсат этилади""}",0,https://ptest.uz/images/7f7443d6-5337-4adc-8b28-423a0b3b509f.webp,Bilet 31-40,300,,,,
