numeration,question,answers,correct_answer,image_url,time_limit,audio_url,explanation_text
question_351,"Qatnav qismi chetidagi piyoda, yalt-yalt etuvchi mayoqcha va maxsus tovushli ishoralarni yoqib kelayotgan transport vositasi yaqinlashib qolganda qanday yol tutishi kerak?","{""Mumkin qadar tezroq qatnov qismidan o'tib olishi"",""Qatnov qismidan o'tmasligi"",""Agar piyodalar o'tish joyida bolsa, qatnov qismidan o'tishi""}",1,https://postimg.cc/Dmfk0bYv,300,,"YHQ 4-bobi 21-bandiga asosan: Yalt-yalt etuvchi ko'k rangli yoki ko'k va qizil rangli chiroq-mayoqchasi va maxsus tovushli ishorasi yoqilgan transport vositalari yaqinlashib kelayotgan bo'lsa, piyodalar qatnov qismidan o'tmasliklari, unda harakatlanayotganlari esa, bu transport vositalariga yol berishlari va zudlik bilan qatnov qismini bo'shatishlari kerak."
question_352,Belgilarning qaysi biri ogohlantiruvchi belgilar bilan qayd etilgan xavfli yol qismining uzunligini ko'rsatadi?,"{""1"",""2"",""3"",""4"",""5""}",3,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-352.jpg,300,,YHQ 1-ilovasi 7-bo'limining beshinchi xatboshisiga asosan: 7.2.1. «Ta'sir oralig'i». Ogohlantiruvchi belgilar bilan belgilangan xavfli joyning uzunligini yoki taqiqlovchi va axborot-ko'rsatkich belgilarining ta'sir oralig'ini ko'rsatadi.
question_353,Ushbu yol chizig'i quyidagi maqsadni:,"{""Trotuar yaqinidagi to'xtab turish joyida mexanik transport vositalarining qoyish usullari korsatilgan to'xtab turish joyini bildiradi"",""Mexanik transport vositalarining to'xtashi taqiqlangan joylarni bildiradi"",""Belgilangan yonalishdagi transport vositalarining to'xtash va taksining to'xtab turish joyini bildiradi""}",2,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-353.jpg,300,,YHQ 2-ilovasi 1-bo limining yigirma birinchi xatboshisiga asosan: 1.17 - yo'nalishli transport vositalarining bekatlari hamda taksilarning to'xtab turish joylarini bildiradi.
question_354,Haydovchilardan qay biri birinchi bolib harakatlanish uchun imtiyozga ega?,"{""Mototsikl haydovchisi"",""Avtomobil haydovchisi""}",1,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-354.jpg,300,,YHQ 16-bobi 105-bandiga asosan: Teng ahamiyatga ega bolgan yollar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan kelayotgan transport vositalariga yo'l berishi shart.
question_355,Navbat bilan yalt-yalt etib turuvchi ikkita qizil yoritgichlar quyidagi ma'noga ega:,"{""Harakatni taqiqlaydi"",""Boshqa haydovchilarga qatnov qismiga maxsus transport vositalarining o'tganligini xabar qiladi"",""Alohida ehtiyotkorlik bilan harakatlanishga ruxsat etadi""}",0,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-355.jpg,300,,"YHQ 7-bobining 31-bandi 6-xatboshiga va 37- bandiga asosan, qizil chiroq, shu jumladan, miltillovchi qizil chiroq harakatni taqiqlaydi; temir yo'l kesishmalarida svetoforning miltillovchi qizil ishorasi bilan bir vaqtda piyodalarning kesishma orqali harakatlanishi taqiqlanganligi to'g'risida xabar beruvchi tovushli ishora ham berilishi mumkin."
question_356,Shlagbaumni o'zboshimchalik bilan ochish yoki aylanib o'tishga ruxsat beriladimi?,"{""Ruxsat beriladi, faqat svetofor o'chgan bolsa"",""Taqiqlanadi""}",1,https://postimg.cc/Dmfk0bYv,300,,"YHQ 18-bobi 118-bandining sakkizinchi xatboshisiga asosan, temir yo'l kesishmasiga quyidagi hollarda kirish taqiqlanadi: shlagbaumni o'zboshimchalik bilan ochish."
question_357,"Siz uchta tasmasi bolgan ikki tomonlama harakatli yol bo'ylab ketayapsiz, orta tasmaga o'tishga qanday holda ruxsat etiladi?","{""Faqat quvib o'tish uchun"",""Faqat aylanib o'tish uchun"",""Faqat chapga burilish yoki qayrilib olish uchun"",""Barcha sanab otilgan hollarda""}",3,https://postimg.cc/Dmfk0bYv,300,,"YHQ 10-bobi 66-bandiga asosan: Harakat ikki tomonlama bolgan va chiziqlar bilan belgilangan (1.9 yo'l chizig'i bilan belgilanganidan tashqari) uchta tasmali yo'llarda, ikki yo'nalishda harakatlanish uchun moljallangan o rta qatorga faqat quvib o tish, aylanib o tish, chapga burilish va qayrilib olish uchungina chiqishga ruxsat etiladi. Qarama-qarshi yo nalishda harakatlanish uchun mo'ljallangan chetki chap qatorni egallash taqiqlanadi."
question_358,"Avtomobilning taniqlik belgisi bo'lganda, yolning mazkur qismida qanday yuqori tezlik bilan harakatlanishiga ruxsat etiladi?","{""70 km/s"",""90 km/s"",""100 km/s""}",0,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-358.jpg,300,,"YHQ 29-bobi 176-bandining oltinchi xatboshisiga asosan: «Tezlik cheklangan» - o'ta og'ir, xavfli va katta o'lchamli yuklarni tashiyotgan, shuningdek transport vositasining texnik tavsifnomasida ko'rsatilgan eng yuqori tezligi ushbu Qoidalarning 78, 79 va 80-bandlarida belgilangan tezlikdan kam bo'lgan hollarda transport vositasi kuzovi orqa devorining chap tomoniga 3.24 - «Yuqori tezlik cheklangan» yo'l belgisining kichraytirilgan, rangli tasviri tushirilgan shaklidagi belgi. Belgining diametri 160 millimetrdan kam bo lmasligi, hoshiyasining kengligi belgi diametrining 1/10 qismiga teng bolishi kerak."
question_359,Bosh miya va kalla suyagi ortacha holatda jarohatlangan jabrlanuvchini transportning qaysi turida tashish kerak?,"{""Yolovchi yengil avtomobilida"",""Yolovchi yuk avtomobilida"",""Faqat tez tibbiy yordam mashinasida""}",2,https://postimg.cc/Dmfk0bYv,300,,Bosh miya suyagi shikastlangan jabrlanuvchi faqat maxsus jihozlangan tez tibbiy yordam yoki t i h i ti t bill id t hil di
question_360,Quyidagi holatda haydovchi piyodaga yol berishi lozimmi?,"{""Ha"",""Yơ'q""}",0,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-360.jpg,300,,"YHQ 20-bobi 123-bandiga asosan: Turar joy dahalari (kirish va chiqish 5.38 va 5.39 yo'l belgilari bilan belgilangan hududlar)da piyodalarga trotuarlar hamda qatnov qismida harakatlanishga ruxsat etiladi. Bunda piyodalar imtiyozga ega bo ladilar, biroq ular transport vositalarining harakatlanishiga asossiz xalaqit bermasliklari kerak."
