numeration,question,answers,correct_answer,image_url,time_limit,audio_url,explanation_text
question_1001,Yengil avtomobilning tom qismiga ornatilgan yukhonasida yukning balandligi (maxsus moslamalar bilan mustahkamlangan holda velosipedlarni tashish bundan mustasno) necha metrdan oshmasligi kerak?,"{""0.5 metr"",""1.0 metr"",""1.2 metr"",""1.5 metr""}",1,https://postimg.cc/Dmfk0bYv,300,,"YHQ 27-bobi 162-bandi: Yengil avtomobilning tom qismiga o'rnatilgan yukxonasidagi yukning balandligi 1 metrdan (maxsus moslamalar bilan mustahkamlangan holda velosipedlar va individual harakatlanish vositalarini tashish bundan mustasno) va uzunligi avtomobilning gabaritidan 0,5 metrdan oshmasa yukni tashishga ruxsat beriladi."
question_1002,Quyidagi javoblardan qaysi birida «Yolovchi» atamasining to'g'ri ta'rifi ko'rsatilgan?,"{""Transport vositasidagi barcha shaxslar"",""Transport vositasidagi (haydovchidan tashqari) shaxs, shuningdek transport vositasiga kirayotgan(unga chiqib o'tirayotgan) yoki transport vositasidan chiqayotgan(undan tushayotgan) shaxs"",""Har ikkala ta'rif to'g'ri""}",1,https://postimg.cc/Dmfk0bYv,300,,"YHQ umumiy qoidalar: Yo'lovchi - transport vositasidagi (haydovchidan tashqari) shaxs, shuningdek transport vositasiga kirayotgan (unga chiqib o'tirayotgan) yoki transport vositasidan chiqayotgan (undan tushayotgan) shaxs."
question_1003,Bir yonalishda uch va undan ortiq tasmali har qanday yolda yuk avtomobillariga chetki chap qatorni egallashga ruxsat etiladi:,"{""Quvib o'tish, chapga burilish va qayrilib olishda"",""Quvib o'tish va aylanib olishda"",""Chapga burilish va qayrilib olishda"",""Barcha hollarda""}",2,https://postimg.cc/Dmfk0bYv,300,,"YHQ 10-bobi 67-bandining uchinchi xatboshisiga asosan: Bir yo'nalishdagi uch va undan ortiq tasmali har qanday yo'lda chetki chap gatorni harakat serqatnovligi sababli boshqa bo laklar band bo lgan hollarda, shuningdek, quvib o'tish, chapga burilish yoki qayrilib olishga, yuk avtomobillariga faqat chapga burilish yoki qayrilib olish uchun chetki chap qatorni egallashga ruxsat etiladi."
question_1004,"Odam tashish uchun moljallangan yuk avtomobili yukhonasiga o'rnatilgan o'rindiqlar, yukhona pastki qismidan qancha balandlikda mahkamlangan bolishi kerak?","{""0.3 - 0.5 metr"",""0.6 - 0.7 metr"",""0.8 - 0.9 metr""}",0,https://postimg.cc/Dmfk0bYv,300,,"YHQ 26-bobi 153-bandi: Odam tashish uchun moljallangan yuk avtomobili yukxonasining borti 1,3 metrdan kam bo lmasligi shart. Bunda yukxonaning pastki qismidan 0,3 - 0,5 metr balandlikda mahkamlangan o'rindiqlar jihozlangan bolishi kerak."
question_1005,Oq-qizil (1.14.4 zebra) yol chizig'i qanday joylarda piyodalar o'tish joyini belgilash uchun chiziladi?,"{""Piyodalar gavjum bolgan joylarda"",""Savdo, madaniy-maishiy xizmat korsatish binolari oldida"",""Maktab va maktabgacha ta'lim muassasalari oldida"",""Barcha javoblar to'g'ri""}",2,https://postimg.cc/Dmfk0bYv,300,,YHQ 2 ilova: 1.14.4 - oq-qizil rangli yol chizigi maktab va maktabgacha ta'lim muassasalari oldida piyodalarning o'tish joyini belgilaydi.
question_1006,Bu yotiq chiziq bildiradi:,"{""Korsatilgan yo'nalishlarda harakatlanishni taqiqlaydi"",""Chorrahada tasmalar bo'yicha ruxsat etilgan harakat yo'nalishlarini korsatadi"",""Harakat barcha yonalishlarda ruxsat etilgan yollarning kesishmasiga yaqinlashganlikni""}",1,https://lgacbbewpuzeyxijzfii.supabase.co/storage/v1/object/public/test-images/question-1006.jpg,300,,YHQ 2 ilova: 1.18 - chorrahada tasmalar bolaklar bo yicha ruxsat etilgan harakatlanish yo'nalishlarini ko'rsatadi.
question_1007,Kesishayotgan qatnov qismi chetiga qanchadan kam masofa qolganda ta'xtash taqiqlanadi?,"{""40 metr"",""45 metr"",""30 metr""}",2,https://postimg.cc/Dmfk0bYv,300,,YHQ 13-bobi 91-bandi: To'xtash taqiqlanadi: Qatnov gismi kesishmalarida va kesishayotgan qatnov qismi chetiga 30 metrdan kam masofada (uch tomonlama kesishadigan chorrahalarda yondan tutashgan yo Ining sidirg'a chizig yoki ajratuvchi mintaga bilan ajratilgan qarama-qarshi tomoni bundan mustasno).
question_1008,Transport vositalarining qayrilib olish joylarida va unga yetmasdan yoki otib qanchadan kam masofada to'xtashi taqiqlanadi?,"{""40 metr"",""35 metr"",""30 metr"",""50 metr""}",2,https://postimg.cc/Dmfk0bYv,300,,YHQ 13-bobi 91-bandi: To'xtash taqiqlanadi: Transport vositalarining qayrilib olish joylarida va unga 30 metr yetmasdan yoki o tib.
question_1009,Odam tashish uchun moljallangan yuk avtomobili yuk xonasi bortining balandligi:,"{""0.7 metrdan kam bolmasligi kerak"",""1 metrdan kam bolmasligi kerak"",""1.3 metrdan kam bo'lmasligi kerak"",""1.5 metrdan kam bolmasligi kerak""}",2,https://postimg.cc/Dmfk0bYv,300,,"YHQ 26-bobi 153-bandi: Odam tashish uchun moljallangan yuk avtomobili yukxonasining borti 1,3 metrdan kam bo lmasligi shart"
question_1010,Maktab va maktabgacha ta lim tashkilotlari atrofidagi yollarda 300 metrgacha bolgan masofada qanday eng yuqori tezlikda harakatlanishga ruxsat etiladi?,"{""20 km/s"",""30 km/s"",""50 km/s"",""60 km/s""}",1,https://postimg.cc/Dmfk0bYv,300,,"Aholi punktlarida transport vositalarining tezligini soatiga 70 kilometrdan, maktab va maktabgacha ta'lim tashkilotlari atrofidagi yollarda 300 metrgacha bolgan masofada 30 kilometrdan, turar joy dahalari va yondosh hududlarda (uy-joy binolari orasidagi yer uchastkasida) esa soatiga 20 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi."
